rating_bucket,regime,n_days,h_mean_decimal,A_obs_mean,A_fit,A_fit_se,k_decay_fit,k_decay_se,k_impact_slope,k_impact_r2,k_impact_pval,sigma_mean,resid_adf_stat,resid_adf_p,resid_stationary,sim_A,sim_k,sim_sigma,data_is_synthetic
IG,calm,1806,0.003743,14.592,17.015,0.1351,41.3033,2.0994,1.5924,0.268,0.0,0.0296,-6.491,0.0,True,17.02,41.303,0.0296,False
IG,normal,1206,0.004773,11.141,12.55,0.1278,25.0117,2.1147,0.8264,0.043,0.0,0.03773,-11.059,0.0,True,12.55,25.012,0.03773,False
IG,elevated,989,0.00683,8.319,9.815,0.1109,24.3486,1.6392,1.2449,0.08,0.0,0.06282,-8.953,0.0,True,9.82,24.349,0.06282,False
IG,stress,312,0.010506,5.558,7.179,0.2019,24.5436,2.6784,0.6854,0.073,0.0,0.08323,-2.75,0.0658,False,7.18,24.544,0.08323,False
IG,crisis,74,0.012331,4.258,4.258,0.0,0.0,0.0,,,,0.0978,-2.439,0.131,False,4.26,0.0,0.0978,False
HY,calm,1806,0.010296,2.189,2.822,0.027,24.8499,0.9327,1.5924,0.268,0.0,0.05328,-7.332,0.0,True,2.82,24.85,0.05328,False
HY,normal,1206,0.013306,1.671,2.085,0.0263,16.6662,0.9464,0.8264,0.043,0.0,0.06792,-10.782,0.0,True,2.08,16.666,0.06792,False
HY,elevated,989,0.018822,1.248,1.637,0.022,14.4996,0.7175,1.2449,0.08,0.0,0.11308,-8.598,0.0,True,1.64,14.5,0.11308,False
HY,stress,312,0.028955,0.834,1.256,0.0382,14.2652,1.0639,0.6854,0.073,0.0,0.14981,-2.803,0.0579,False,1.26,14.265,0.14981,False
HY,crisis,74,0.03493,0.639,0.639,0.0,0.0,0.0,,,,0.17605,-2.439,0.131,False,0.64,0.0,0.17605,False
