,mean,std
vix_close,18.10304,7.815884
implied_spread_bps,131.721281,54.711185
h_IG_bps,51.480668,24.481864
h_HY_bps,142.477721,63.622418
h_IG_decimal,0.005148,0.002448
h_HY_decimal,0.014248,0.006362
q_proxy,0.63813,2.193826
tau_proxy,0.672746,0.260077
D_phi_sigma,0.013223,0.00506
gs10_yield,3.012115,1.007695
real_yield,2.847563,1.023554
sp500_sigma_12m,0.104172,0.055483
liquidity_rf,0.001791,0.008784
credit_rf,0.00224,0.019884
sigma_IG_estimate,0.04173,0.022445
sigma_HY_estimate,0.075114,0.040401
k_IG_estimate,0.658606,0.273556
k_HY_estimate,1.646516,0.68389
A_IG_estimate,11.736008,3.242865
A_HY_estimate,1.760401,0.48643
A_fitted_mean,7.933685,2.043574
k_decay_mean,25.792886,7.147291
dv01_10y,9.223095,0.089835
