date,vix_open,vix_high,vix_low,vix_close,vix_log_ret,vix_20d_std,vix_60d_mean,sigma_proxy,k_proxy,regime
1990-01-02,17.24,17.24,17.24,17.24,,,,0.1724,0.5171999999999999,normal
1990-01-03,18.19,18.19,18.19,18.19,0.053639727294484185,,,0.1819,0.5457,normal
1990-01-04,19.22,19.22,19.22,19.22,0.05507941101211555,,,0.19219999999999998,0.5765999999999999,normal
1990-01-05,20.11,20.11,20.11,20.11,0.04526580024241422,,,0.2011,0.6033,elevated
1990-01-08,20.26,20.26,20.26,20.26,0.007431295035976504,,,0.2026,0.6078,elevated
1990-01-09,22.2,22.2,22.2,22.2,0.09144379005769654,,,0.222,0.6659999999999999,elevated
1990-01-10,22.44,22.44,22.44,22.44,0.010752791776261983,,,0.22440000000000002,0.6732,elevated
1990-01-11,20.05,20.05,20.05,20.05,-0.1126159269019178,,,0.2005,0.6015,elevated
1990-01-12,24.64,24.64,24.64,24.64,0.20614198491274083,,,0.2464,0.7392,elevated
1990-01-15,26.34,26.34,26.34,26.34,0.06671755764981624,,,0.2634,0.7902,elevated
1990-01-16,24.18,24.18,24.18,24.18,-0.08556285112848849,,,0.2418,0.7253999999999999,elevated
1990-01-17,24.16,24.16,24.16,24.16,-0.0008274721200325352,,,0.2416,0.7248,elevated
1990-01-18,24.34,24.34,24.34,24.34,0.007422714492767213,,,0.2434,0.7302,elevated
1990-01-19,22.5,22.5,22.5,22.5,-0.07860577834900706,,,0.225,0.6749999999999999,elevated
1990-01-22,26.7,26.7,26.7,26.7,0.17114825619582952,,,0.267,0.8009999999999999,elevated
1990-01-23,24.72,24.72,24.72,24.72,-0.07705093281671394,,,0.24719999999999998,0.7415999999999999,elevated
1990-01-24,25.39,25.39,25.39,25.39,0.026742763127097113,,,0.2539,0.7617,elevated
1990-01-25,25.63,25.63,25.63,25.63,0.009408144659392992,,,0.2563,0.7688999999999999,elevated
1990-01-26,26.28,26.28,26.28,26.28,0.025044653240430037,,,0.26280000000000003,0.7884,elevated
1990-01-29,26.44,26.44,26.44,26.44,0.0060698213670757895,2.9608236318543786,,0.2644,0.7932,elevated
1990-01-30,27.25,27.25,27.25,27.25,0.03017550612576736,2.766404849163198,,0.2725,0.8175,elevated
1990-01-31,25.36,25.36,25.36,25.36,-0.07188039154022796,2.485264944046254,,0.2536,0.7607999999999999,elevated
1990-02-01,24.87,24.87,24.87,24.87,-0.0195108717537118,2.23227544989647,,0.2487,0.7461,elevated
1990-02-02,24.32,24.32,24.32,24.32,-0.022363200717347098,2.0149057049896792,,0.2432,0.7296,elevated
1990-02-05,24.54,24.54,24.54,24.54,0.009005382184799071,1.763238273894447,,0.24539999999999998,0.7362,elevated
1990-02-06,24.69,24.69,24.69,24.69,0.0060938640743226635,1.6689441982409283,,0.2469,0.7407,elevated
1990-02-07,24.29,24.29,24.29,24.29,-0.016333560343007036,1.5837346767422054,,0.2429,0.7286999999999999,elevated
1990-02-08,23.77,23.77,23.77,23.77,-0.021640461641978526,1.1517925388851598,,0.2377,0.7131,elevated
1990-02-09,23.69,23.69,23.69,23.69,-0.0033712632014082367,1.1873504337943048,,0.2369,0.7107,elevated
1990-02-12,24.38,24.38,24.38,24.38,0.02871010588243106,1.1488461030185895,,0.2438,0.7313999999999999,elevated
1990-02-13,23.76,23.76,23.76,23.76,-0.025759629558681052,1.1659303942390702,,0.2376,0.7128,elevated
1990-02-14,22.05,22.05,22.05,22.05,-0.07469089260158901,1.3176265543931838,,0.2205,0.6615,elevated
1990-02-15,19.71,19.71,19.71,19.71,-0.11218648072822646,1.7340919055350141,,0.1971,0.5913,normal
1990-02-16,20.78,20.78,20.78,20.78,0.05286486450645267,1.876213712437044,,0.2078,0.6234000000000001,elevated
1990-02-20,22.78,22.78,22.78,22.78,0.09189197234795454,1.8309114785005904,,0.2278,0.6834,elevated
1990-02-21,23.89,23.89,23.89,23.89,0.0475770033186822,1.8287449679752212,,0.2389,0.7167,elevated
1990-02-22,22.54,22.54,22.54,22.54,-0.05816845272608795,1.8415979903048045,,0.2254,0.6761999999999999,elevated
1990-02-23,23.69,23.69,23.69,23.69,0.049761509559064,1.804775536415004,,0.2369,0.7107,elevated
1990-02-26,23.56,23.56,23.56,23.56,-0.005502659387308206,1.7208033619580938,,0.23559999999999998,0.7068,elevated
1990-02-27,22.69,22.69,22.69,22.69,-0.037626059991635596,1.6215083134311343,,0.22690000000000002,0.6807,elevated
1990-02-28,21.99,21.99,21.99,21.99,-0.03133649422508045,1.4172541093700475,,0.21989999999999998,0.6597,elevated
1990-03-01,21.9,21.9,21.9,21.9,-0.004101167744214873,1.3716777088084788,,0.21899999999999997,0.6569999999999999,elevated
1990-03-02,21.34,21.34,21.34,21.34,-0.02590339094884797,1.3718470069677198,,0.2134,0.6402,elevated
1990-03-05,22.03,22.03,22.03,22.03,0.0318219149406449,1.3528927097927987,,0.22030000000000002,0.6609,elevated
1990-03-06,20.55,20.55,20.55,20.55,-0.0695442198720082,1.3924775345442757,,0.20550000000000002,0.6165,elevated
1990-03-07,19.1,19.1,19.1,19.1,-0.07317260588965935,1.5273488382436384,,0.191,0.5730000000000001,normal
1990-03-08,19.74,19.74,19.74,19.74,0.03295869895275105,1.5730362862612932,,0.1974,0.5922,normal
1990-03-09,20.3,20.3,20.3,20.3,0.02797385204240621,1.581748782369154,,0.203,0.609,elevated
1990-03-12,20.07,20.07,20.07,20.07,-0.011394723239495086,1.5881199576858127,,0.2007,0.6021,elevated
1990-03-13,21.05,21.05,21.05,21.05,0.04767439732014367,1.4788879178910752,,0.21050000000000002,0.6315,elevated
1990-03-14,19.65,19.65,19.65,19.65,-0.06882322181311995,1.4594897269792229,,0.19649999999999998,0.5894999999999999,normal
1990-03-15,18.81,18.81,18.81,18.81,-0.04368869500233119,1.5675937812959995,,0.1881,0.5642999999999999,normal
1990-03-16,17.62,17.62,17.62,17.62,-0.06535402280490565,1.739949787539253,,0.17620000000000002,0.5286,normal
1990-03-19,18.29,18.29,18.29,18.29,0.03731984189474069,1.8570306660733529,,0.18289999999999998,0.5487,normal
1990-03-20,19.06,19.06,19.06,19.06,0.041237435823281654,1.8640286732603775,,0.1906,0.5718,normal
1990-03-21,20.1,20.1,20.1,20.1,0.05312791683897444,1.7312891454818171,,0.201,0.603,elevated
1990-03-22,22.74,22.74,22.74,22.74,0.12340567325735963,1.7429901711834488,,0.2274,0.6821999999999999,elevated
1990-03-23,20.46,20.46,20.46,20.46,-0.10565372779890936,1.5961891294085768,,0.2046,0.6138,elevated
1990-03-26,19.59,19.59,19.59,19.59,-0.0434525285670313,1.441889841766521,,0.1959,0.5877,normal
1990-03-27,21.01,21.01,21.01,21.01,0.06997928290045996,1.3442704928304972,22.317333333333334,0.2101,0.6303,elevated
1990-03-28,19.77,19.77,19.77,19.77,-0.060832877674383834,1.2851250195173571,22.3595,0.1977,0.5931,normal
1990-03-29,18.46,18.46,18.46,18.46,-0.06855940810781913,1.2699610437456723,22.363999999999997,0.18460000000000001,0.5538,normal
1990-03-30,19.73,19.73,19.73,19.73,0.06653409095981777,1.2300846141200035,22.3725,0.1973,0.5919,normal
1990-04-02,22.84,22.84,22.84,22.84,0.1463730647532855,1.31414210558989,22.418,0.2284,0.6851999999999999,elevated
1990-04-03,20.44,20.44,20.44,20.44,-0.11101961945230565,1.3117135237623618,22.421,0.20440000000000003,0.6132,elevated
1990-04-04,22.03,22.03,22.03,22.03,0.07491139547874814,1.3748821959104693,22.418166666666664,0.22030000000000002,0.6609,elevated
1990-04-05,21.21,21.21,21.21,21.21,-0.03793239223766065,1.3944524486618253,22.397666666666666,0.2121,0.6363,elevated
1990-04-06,21.76,21.76,21.76,21.76,0.02560065341115081,1.4395703854750739,22.426166666666667,0.21760000000000002,0.6528,elevated
1990-04-09,22.3,22.3,22.3,22.3,0.024513256478330803,1.5107593071732286,22.387166666666666,0.223,0.669,elevated
1990-04-10,21.69,21.69,21.69,21.69,-0.02773535362728996,1.5330691610725151,22.309666666666665,0.2169,0.6507000000000001,elevated
1990-04-11,17.73,17.73,17.73,17.73,-0.2015932047526663,1.6376060833456059,22.202166666666667,0.1773,0.5319,normal
1990-04-12,19.8,19.8,19.8,19.8,0.11042381761437303,1.6054160798602,22.1295,0.198,0.594,normal
1990-04-16,20.75,20.75,20.75,20.75,0.04686430897621774,1.4743940771506254,22.069666666666667,0.2075,0.6224999999999999,elevated
1990-04-17,20.38,20.38,20.38,20.38,-0.017992218882128874,1.3815509019709844,22.034333333333336,0.20379999999999998,0.6113999999999999,elevated
1990-04-18,22.67,22.67,22.67,22.67,0.10648843672485908,1.4063917998683133,21.967166666666667,0.2267,0.6801,elevated
1990-04-19,22.46,22.46,22.46,22.46,-0.00930651520914072,1.4454170769420767,21.9295,0.22460000000000002,0.6738,elevated
1990-04-20,23.33,23.33,23.33,23.33,0.038004136723041704,1.4904590426760216,21.895166666666668,0.23329999999999998,0.6999,elevated
1990-04-23,24.16,24.16,24.16,24.16,0.034958287033275415,1.651246658230008,21.87066666666667,0.2416,0.7248,elevated
1990-04-24,21.7,21.7,21.7,21.7,-0.10738611252020025,1.6163601083916836,21.794333333333334,0.217,0.6509999999999999,elevated
1990-04-25,20.86,20.86,20.86,20.86,-0.03947881097378758,1.6176893039797544,21.70133333333333,0.2086,0.6257999999999999,elevated
1990-04-26,20.25,20.25,20.25,20.25,-0.02967865602007791,1.5987523918750803,21.584666666666667,0.2025,0.6074999999999999,elevated
1990-04-27,22.19,22.19,22.19,22.19,0.09148694339195407,1.4714096356179818,21.53183333333333,0.22190000000000001,0.6657,elevated
1990-04-30,19.52,19.52,19.52,19.52,-0.12820215595955586,1.4847479849952103,21.442666666666664,0.19519999999999998,0.5856,normal
1990-05-01,18.43,18.43,18.43,18.43,-0.057459809303214815,1.5843115722277334,21.3445,0.1843,0.5529,normal
1990-05-02,19.32,19.32,19.32,19.32,0.0471610571026404,1.631060681694093,21.2575,0.1932,0.5796,normal
1990-05-03,17.81,17.81,17.81,17.81,-0.08138073148280212,1.774727258511924,21.142833333333336,0.17809999999999998,0.5343,normal
1990-05-04,17.28,17.28,17.28,17.28,-0.030210333925660304,1.9494303486430387,21.026000000000003,0.1728,0.5184,normal
1990-05-07,17.65,17.65,17.65,17.65,0.021186020003395978,2.0481041297540976,20.924,0.1765,0.5295,normal
1990-05-08,18.49,18.49,18.49,18.49,0.04649426201972773,2.0504281324435145,20.837333333333333,0.18489999999999998,0.5547,normal
1990-05-09,18.64,18.64,18.64,18.64,0.008079763858411582,2.0568573371197068,20.741666666666667,0.1864,0.5592,normal
1990-05-10,18.59,18.59,18.59,18.59,-0.0026860075240922043,2.011633010372684,20.6555,0.1859,0.5577,normal
1990-05-11,19.81,19.81,19.81,19.81,0.06356305897710657,2.0115259329542288,20.618166666666664,0.1981,0.5942999999999999,normal
1990-05-14,20.14,20.14,20.14,20.14,0.01652102657995691,2.007599771395005,20.625333333333334,0.2014,0.6042,elevated
1990-05-15,19.49,19.49,19.49,19.49,-0.03280637377094697,2.012883438463867,20.603833333333334,0.1949,0.5846999999999999,normal
1990-05-16,17.71,17.71,17.71,17.71,-0.09577206172472685,1.9901237068134923,20.519333333333336,0.1771,0.5313,normal
1990-05-17,17.27,17.27,17.27,17.27,-0.02515855963615543,1.9759011268679223,20.409,0.1727,0.5181,normal
1990-05-18,17.2,17.2,17.2,17.2,-0.004061508339179731,1.8430537445400772,20.32,0.172,0.516,normal
1990-05-21,16.72,16.72,16.72,16.72,-0.028303776162851957,1.542190086583995,20.203833333333332,0.1672,0.5015999999999999,normal
1990-05-22,17.84,17.84,17.84,17.84,0.06483751949530792,1.416821776854267,20.1085,0.1784,0.5352,normal
1990-05-23,17.18,17.18,17.18,17.18,-0.037697210595753816,1.367926879393957,20.016666666666666,0.1718,0.5154,normal
1990-05-24,17.7,17.7,17.7,17.7,0.029818723023673943,1.3217966242162773,19.945166666666662,0.177,0.5309999999999999,normal
1990-05-25,17.32,17.32,17.32,17.32,-0.021702736445494253,1.0075894892998094,19.868833333333335,0.1732,0.5196,normal
1990-05-29,18.75,18.75,18.75,18.75,0.07933184928213066,0.9686784268976603,19.825666666666667,0.1875,0.5625,normal
1990-05-30,17.44,17.44,17.44,17.44,-0.07242733393558609,0.9797629949716791,19.749166666666664,0.1744,0.5232,normal
1990-05-31,17.37,17.37,17.37,17.37,-0.004021838227819874,0.9503849635529048,19.696166666666667,0.17370000000000002,0.5211,normal
1990-06-01,17.09,17.09,17.09,17.09,-0.016251083125514487,0.9721457547205262,19.662666666666667,0.1709,0.5126999999999999,normal
1990-06-04,18.39,18.39,18.39,18.39,0.07331354148873048,0.9614653016702561,19.64016666666667,0.1839,0.5517,normal
1990-06-05,18.97,18.97,18.97,18.97,0.03105174533069288,0.9784761245507599,19.618000000000002,0.18969999999999998,0.5690999999999999,normal
1990-06-06,17.42,17.42,17.42,17.42,-0.08523981252256574,0.985572769617045,19.57383333333333,0.17420000000000002,0.5226000000000001,normal
1990-06-07,16.88,16.88,16.88,16.88,-0.03148948225654591,1.008612387078659,19.50433333333333,0.16879999999999998,0.5064,normal
1990-06-08,17.58,17.58,17.58,17.58,0.04063240308921978,1.0008747489860987,19.469833333333334,0.17579999999999998,0.5274,normal
1990-06-11,16.34,16.34,16.34,16.34,-0.07314580282517413,0.954501798956201,19.42866666666667,0.1634,0.49019999999999997,normal
1990-06-12,16.6,16.6,16.6,16.6,0.015786605930641073,0.8020834711779976,19.41166666666667,0.166,0.498,normal
1990-06-13,17.38,17.38,17.38,17.38,0.045917424474748,0.661774925961755,19.396500000000003,0.17379999999999998,0.5214,normal
1990-06-14,17.4,17.4,17.4,17.4,0.0011500863832374364,0.6591749228751622,19.36883333333333,0.174,0.5219999999999999,normal
1990-06-15,15.9,15.9,15.9,15.9,-0.09015109699429713,0.7437477996429932,19.298833333333334,0.159,0.477,normal
1990-06-18,17.71,17.71,17.71,17.71,0.10781034256855637,0.7462248849693217,19.215,0.1771,0.5313,normal
1990-06-19,15.23,15.23,15.23,15.23,-0.15086228488767217,0.8799729361867695,19.12783333333333,0.1523,0.4569,normal
1990-06-20,15.27,15.27,15.27,15.27,0.002622952323470873,0.9824159264953389,19.055833333333336,0.1527,0.45809999999999995,normal
1990-06-21,14.72,14.72,14.72,14.72,-0.036683005929810886,1.1277695733288944,18.951,0.1472,0.4416,calm
1990-06-22,19.36,19.36,19.36,19.36,0.27400196854770087,1.2325600230927631,18.944166666666668,0.1936,0.5808,normal
1990-06-25,17.06,17.06,17.06,17.06,-0.12647253978489825,1.2321102992320947,18.920833333333334,0.17059999999999997,0.5117999999999999,normal
1990-06-26,16.29,16.29,16.29,16.29,-0.04618511944957904,1.1851360126252075,18.8635,0.1629,0.48869999999999997,normal
1990-06-27,16.0,16.0,16.0,16.0,-0.01796270037417269,1.2019002498237705,18.7495,0.16,0.48,normal
1990-06-28,16.18,16.18,16.18,16.18,0.011187189390564622,1.209342035114494,18.6785,0.1618,0.4854,normal
1990-06-29,15.5,15.5,15.5,15.5,-0.04293588770514489,1.2470719390046288,18.569666666666667,0.155,0.46499999999999997,normal
1990-07-02,16.26,16.26,16.26,16.26,0.04786808019446376,1.1948039918528506,18.487166666666667,0.16260000000000002,0.4878,normal
1990-07-03,16.11,16.11,16.11,16.11,-0.0092679069307815,1.0741972522969185,18.392999999999997,0.1611,0.48329999999999995,normal
1990-07-05,17.25,17.25,17.25,17.25,0.06837194628848575,1.0676826849722807,18.308833333333332,0.1725,0.5175,normal
1990-07-06,16.41,16.41,16.41,16.41,-0.04992123837536955,1.0652297750646835,18.220833333333335,0.1641,0.49229999999999996,normal
1990-07-09,16.66,16.66,16.66,16.66,0.015119731636697331,1.0368742247229819,18.203,0.1666,0.49979999999999997,normal
1990-07-10,16.92,16.92,16.92,16.92,0.015485717439380764,1.0408118036064264,18.154999999999998,0.16920000000000002,0.5076,normal
1990-07-11,16.68,16.68,16.68,16.68,-0.014285957247476944,1.0413274675801982,18.08716666666667,0.1668,0.5004,normal
1990-07-12,17.06,17.06,17.06,17.06,0.022526145132932385,1.0297228804520482,18.03183333333333,0.17059999999999997,0.5117999999999999,normal
1990-07-13,17.09,17.09,17.09,17.09,0.0017569550639664477,1.0177017451618184,17.938833333333335,0.1709,0.5126999999999999,normal
1990-07-16,16.75,16.75,16.75,16.75,-0.020095238856423947,1.0097914062867996,17.843666666666667,0.1675,0.5025,normal
1990-07-17,16.66,16.66,16.66,16.66,-0.005387621532378706,0.9715375768121596,17.732499999999998,0.1666,0.49979999999999997,normal
1990-07-18,18.9,18.9,18.9,18.9,0.1261512853269,1.0663675430367545,17.644833333333334,0.18899999999999997,0.567,normal
1990-07-19,18.56,18.56,18.56,18.56,-0.018153194707542397,1.0946131256005354,17.592499999999998,0.1856,0.5568,normal
1990-07-20,15.63,15.63,15.63,15.63,-0.17181658292466917,1.0189844015128224,17.505333333333336,0.1563,0.4689,normal
1990-07-23,23.68,23.68,23.68,23.68,0.4154386655824198,1.762196222421303,17.5625,0.2368,0.7103999999999999,elevated
1990-07-24,21.79,21.79,21.79,21.79,-0.08317966105927654,2.0525052727671502,17.555833333333336,0.21789999999999998,0.6537,elevated
1990-07-25,20.19,20.19,20.19,20.19,-0.07626371663178233,2.1332712710270996,17.567,0.20190000000000002,0.6057,elevated
1990-07-26,20.26,20.26,20.26,20.26,0.003461066495791254,2.186164870750913,17.5975,0.2026,0.6078,elevated
1990-07-27,21.12,21.12,21.12,21.12,0.0415719600175235,2.27926673342664,17.6275,0.2112,0.6336,elevated
1990-07-30,21.16,21.16,21.16,21.16,0.0018921481520379757,2.3071310505063636,17.683333333333334,0.2116,0.6348,elevated
1990-07-31,21.11,21.11,21.11,21.11,-0.0023657451298695342,2.340824135123997,17.747166666666665,0.21109999999999998,0.6333,elevated
1990-08-01,21.64,21.64,21.64,21.64,0.02479659211805174,2.370139680538514,17.81366666666667,0.2164,0.6492,elevated
1990-08-02,20.43,20.43,20.43,20.43,-0.0575390451487503,2.369044888601854,17.846,0.2043,0.6129,elevated
1990-08-03,28.74,28.74,28.74,28.74,0.3412854718213483,3.152242768836853,18.014333333333333,0.2874,0.8622,elevated
1990-08-06,35.91,35.91,35.91,35.91,0.22272592758711252,4.754541762191287,18.303,0.3591,1.0773,stress
1990-08-07,32.75,32.75,32.75,32.75,-0.09211284615673065,5.398738132290968,18.518666666666668,0.3275,0.9824999999999999,stress
1990-08-08,28.27,28.27,28.27,28.27,-0.14710179037576188,5.497241892172159,18.654166666666665,0.2827,0.8481,elevated
1990-08-09,24.39,24.39,24.39,24.39,-0.14762795947767016,5.402151886054287,18.735833333333336,0.2439,0.7317,elevated
1990-08-10,25.75,25.75,25.75,25.75,0.05426141488191627,5.312994472343988,18.869833333333336,0.2575,0.7725,elevated
1990-08-13,25.74,25.74,25.74,25.74,-0.00038842494176449804,5.1626547638328635,19.011,0.25739999999999996,0.7721999999999999,elevated
1990-08-14,24.18,24.18,24.18,24.18,-0.06252035698133396,4.93516383773254,19.127333333333333,0.2418,0.7253999999999999,elevated
1990-08-15,23.31,23.31,23.31,23.31,-0.036643392138981046,4.815416553004233,19.237166666666663,0.23309999999999997,0.6992999999999999,elevated
1990-08-16,27.16,27.16,27.16,27.16,0.1528628496428297,4.712279005009402,19.3925,0.2716,0.8148,elevated
1990-08-17,27.53,27.53,27.53,27.53,0.013531016464020773,4.312829667033216,19.564999999999998,0.2753,0.8259,elevated
1990-08-20,26.46,26.46,26.46,26.46,-0.03964216046770641,4.321133470940691,19.711000000000002,0.2646,0.7938,elevated
1990-08-21,28.9,28.9,28.9,28.9,0.0882074364315768,4.344689438359107,19.904,0.289,0.8669999999999999,elevated
