date,vix_mean,vix_max,vix_std,regime,gs10_yield,sp500_sigma_12m,cape_ratio,liquidity_rf,credit_rf,bond_mkt_ret,ret_sigma_xs,n_bonds,cpi_mom_pct,real_yield,implied_spread_proxy_bps
1990-01-01,23.347272727272728,27.25,2.988828695274614,elevated,8.21,0.08039312341947964,17.05,,,,,,1.03,7.180000000000001,168.4309090909091
1990-02-01,23.262631578947367,24.87,1.374056614171106,elevated,8.47,0.08900980613146142,16.51,,,,,,0.47,8.0,167.83842105263156
1990-03-01,20.062272727272727,22.74,1.2769790683975752,elevated,8.59,0.0886044236598051,16.83,,,,,,0.55,8.04,145.4359090909091
1990-04-01,21.4035,24.16,1.4847479849952205,elevated,8.79,0.0865443369509776,16.81,,,,,,0.16,8.629999999999999,154.8245
1990-05-01,18.097727272727273,20.14,0.9483465903409236,normal,8.76,0.08565575872195025,17.39,,,,,,0.23,8.53,131.6840909090909
1990-06-01,16.82238095238095,19.36,1.2170411035043338,normal,8.48,0.08507573364021366,17.82,,,,,,0.54,7.94,122.75666666666665
1990-07-01,18.392857142857142,23.68,2.333304829757875,normal,8.47,0.08368151345767895,17.75,,,,,,0.38,8.09,133.75
1990-08-01,28.175217391304347,36.47,4.109768705685182,elevated,8.75,0.11491521052472056,16.17,,,,,,0.92,7.83,202.22652173913042
1990-09-01,29.10736842105263,30.56,0.8057766585052044,elevated,8.89,0.12254461507201019,15.3,,,,,,0.84,8.05,208.75157894736842
1990-10-01,29.625652173913043,33.98,1.9115648660597815,elevated,8.72,0.12350561119490601,14.82,,,,,,0.6,8.120000000000001,212.3795652173913
1990-11-01,24.885714285714286,30.87,3.768865308589007,elevated,8.39,0.12799272993794925,15.19,,,,,,0.22,8.17,179.2
1990-12-01,23.363,26.38,1.3154510933316255,elevated,8.08,0.1336143906110983,15.85,,,,,,0.0,8.08,168.541
1991-01-01,27.429090909090913,36.2,4.742909403561237,elevated,8.09,0.1319692375330342,15.61,,,,,,0.6,7.49,197.0036363636364
1991-02-01,21.59842105263158,23.6,1.1219490142797375,elevated,7.85,0.16863311367246694,17.35,,,,,,0.15,7.699999999999999,156.18894736842105
1991-03-01,17.74421052631579,21.05,2.259014819167058,normal,8.11,0.16901695385562504,17.82,,,,,,0.15,7.959999999999999,129.20947368421054
1991-04-01,17.37272727272727,20.12,1.1594546411719036,normal,8.04,0.16910115031410364,18.16,,,,,,0.15,7.889999999999999,126.6090909090909
1991-05-01,16.93227272727273,18.38,0.8977163186355632,normal,8.07,0.1672278476025079,18.04,,,,,,0.3,7.7700000000000005,123.5259090909091
1991-06-01,17.134999999999998,19.55,0.9362663813478003,normal,8.28,0.16550472363686505,18.02,,,,,,0.29,7.989999999999999,124.945
1991-07-01,17.294090909090908,20.29,1.5582305566033792,normal,8.27,0.16541456305828597,18.1,,,,,,0.15,8.12,126.05863636363635
1991-08-01,15.681363636363637,21.19,1.5225019992309825,normal,7.9,0.13409135462263766,18.51,,,,,,0.29,7.61,114.76954545454545
1991-09-01,16.9565,18.22,0.8587768229167271,normal,7.65,0.11897421111059696,18.36,,,,,,0.44,7.21,123.69549999999998
1991-10-01,16.36391304347826,18.58,1.084660563286692,normal,7.53,0.1111705753265187,18.35,,,,,,0.15,7.38,119.54739130434781
1991-11-01,17.773500000000002,21.92,2.723286085827774,normal,7.42,0.11289365354203641,18.29,,,,,,0.29,7.13,129.41450000000003
1991-12-01,18.347619047619048,20.57,1.5672967324725222,normal,7.09,0.1098442465341868,18.44,,,,,,0.07,7.02,133.43333333333334
1992-01-01,17.68318181818182,19.23,0.9713730408116029,normal,7.03,0.11891110148015516,19.77,,,,,,0.15,6.88,128.78227272727273
1992-02-01,17.47736842105263,18.79,0.7742081410150855,normal,7.34,0.07527283688806574,19.58,,,,,,0.36,6.9799999999999995,127.34157894736842
1992-03-01,17.520454545454545,19.79,1.3552700566333364,normal,7.54,0.07634820243579936,19.28,,,,,,0.51,7.03,127.64318181818182
1992-04-01,16.562857142857144,20.15,1.2061929483177345,normal,7.48,0.07544477746640106,19.3,,,,,,0.14,7.340000000000001,120.94000000000001
1992-05-01,15.077000000000002,16.92,1.1809367379107882,normal,7.39,0.07543164523399377,19.66,,,,,,0.14,7.25,110.53900000000002
1992-06-01,15.203181818181816,18.2,1.353842455361551,normal,7.26,0.0788760869595688,19.32,,,,,,0.36,6.8999999999999995,111.42227272727271
1992-07-01,13.601818181818182,15.83,0.9310344291298294,calm,6.84,0.07949618583687061,19.62,,,,,,0.21,6.63,100.21272727272728
1992-08-01,14.421904761904763,16.19,0.7577177511951201,calm,6.59,0.07743225089765764,19.72,,,,,,0.28,6.31,105.95333333333335
1992-09-01,13.696666666666667,15.19,0.7722909641665721,calm,6.42,0.07660578621338683,19.71,,,,,,0.28,6.14,100.87666666666667
1992-10-01,17.63681818181818,21.02,1.6856294185842071,normal,6.59,0.0791743610311281,19.37,,,,,,0.35,6.24,128.45772727272725
1992-11-01,14.4245,17.33,1.309352893608137,calm,6.87,0.08090389664810302,19.83,,,,,,0.14,6.73,105.9715
1992-12-01,12.191363636363635,12.8,0.42398669627090757,calm,6.77,0.08386848076058927,20.45,,,,,,-0.07,6.84,90.33954545454544
1993-01-01,12.409,14.72,0.922849705503214,calm,6.6,0.053990935426529225,20.32,,,,,,0.49,6.109999999999999,91.863
1993-02-01,13.72157894736842,15.9,1.3043954034038352,calm,6.26,0.05323944234850946,20.55,,,,,,0.35,5.91,101.05105263157894
1993-03-01,13.60608695652174,16.22,1.108191561756994,calm,5.98,0.050672053370143355,20.86,,,,,,0.35,5.630000000000001,100.24260869565218
