date,SP500,Dividend,Earnings,cpi,gs10_rate,cape_ratio,sp500_log_ret,sp500_sigma_12m,earnings_yield
1871-01-01,4.44,0.26,0.4,12.46,5.32,0.0,,,0.09009009009009009
1871-02-01,4.5,0.26,0.4,12.84,5.32,0.0,0.0134230203321406,,0.08888888888888889
1871-03-01,4.61,0.26,0.4,13.03,5.33,0.0,0.024150460232283066,,0.08676789587852494
1871-04-01,4.74,0.26,0.4,12.56,5.33,0.0,0.027809278698427864,,0.08438818565400844
1871-05-01,4.86,0.26,0.4,12.27,5.33,0.0,0.02500130220541741,,0.0823045267489712
1871-06-01,4.82,0.26,0.4,12.08,5.34,0.0,-0.008264509849893464,,0.08298755186721991
1871-07-01,4.73,0.26,0.4,12.08,5.34,0.0,-0.018848725558667345,,0.08456659619450317
1871-08-01,4.79,0.26,0.4,11.89,5.34,0.0,0.012605208918982092,,0.08350730688935282
1871-09-01,4.84,0.26,0.4,12.18,5.35,0.0,0.010384309305716544,,0.08264462809917356
1871-10-01,4.59,0.26,0.4,12.37,5.35,0.0,-0.05303469665608662,,0.08714596949891068
1871-11-01,4.64,0.26,0.4,12.37,5.35,0.0,0.01083434216571022,,0.08620689655172414
1871-12-01,4.74,0.26,0.4,12.65,5.36,0.0,0.021322769468821168,,0.08438818565400844
1872-01-01,4.86,0.2633,0.4025,12.65,5.36,0.0,0.02500130220541741,0.08211627762397841,0.08281893004115226
1872-02-01,4.88,0.2667,0.405,12.65,5.38,0.0,0.004106781952653238,0.08191539892096106,0.08299180327868853
1872-03-01,5.04,0.27,0.4075,12.84,5.4,0.0,0.03226086221822144,0.08416483638272652,0.0808531746031746
1872-04-01,5.18,0.2733,0.41,13.13,5.42,0.0,0.027398974188114433,0.08405739504583139,0.07915057915057915
1872-05-01,5.18,0.2767,0.4125,13.13,5.43,0.0,0.0,0.08203928274230421,0.07963320463320463
1872-06-01,5.13,0.28,0.415,13.03,5.45,0.0,-0.009699397088713368,0.08231046223349055,0.08089668615984405
