A,beta,degenerate_fit,eps_star,gamma,h_observed,h_star,k,m_measured_median,m_pred,m_pred_at_hobs,rating,regime,vol_step
17.015,1.0,False,465.26746772118355,465.26746772118355,0.37429999999999997,0.435702691312233,0.413033,0.0,0.06616960912024693,0.08049215602263005,IG,calm,0.18646247335121877
12.55,1.0,False,268.0180279932767,268.0180279932767,0.47730000000000006,0.558425168695839,0.25011700000000003,0.0,0.06597085813394833,0.0808482702011762,IG,normal,0.23767665944396904
9.815,1.0,False,147.26754093162197,147.26754093162197,0.683,0.7937628343539856,0.243486,0.0382087590230157,0.0662352541250929,0.08038177310407911,IG,elevated,0.39572880324066095
7.179,1.0,False,70.57379532188975,70.57379532188975,1.0506,1.207048281181262,0.24543600000000002,1.6306918529290462,0.06677579503710016,0.07968326717298664,IG,stress,0.524299718142633
4.258,1.0,True,34.548956942603304,34.548956942603304,1.2331,1.471807336402801,0.0,,0.06533239266809279,,IG,crisis,0.6160820910050403
2.822,1.0,False,28.32309012060282,28.32309012060282,1.0295999999999998,1.1831937801324675,0.24849900000000003,,0.06671842784833096,,HY,calm,0.3356324520321938
2.085,1.0,False,16.17874564778878,16.17874564778878,1.3306,1.5353198844122877,0.166662,,0.06640092242875695,,HY,normal,0.4278557834464452
1.637,1.0,False,9.061932850382261,9.061932850382261,1.8821999999999999,2.1587947244418544,0.14499599999999999,,0.06634675931366577,,HY,elevated,0.7123370434647235
1.256,1.0,False,4.653964174773123,4.653964174773123,2.8955,3.2754077629330935,0.142652,,0.06566093757020477,,HY,stress,0.9437142950252055
0.639,1.0,True,2.1710201366291715,2.1710201366291715,3.4930000000000003,4.169185813036237,0.0,,0.05508008038859333,,HY,crisis,1.1090107578879076
